SquareFeet,Price
3232,144.28723295022306
3107,140.16741923704163
2153,121.8771667697786
1335,76.13943018001767
1263,21.829874427856446
2231,120.29039649378356
1533,92.7592730795909
777,54.47185551247195
2278,73.67180323505202
2328,82.85475685989334
3147,127.5360198309707
3148,129.3379116599906
2862,156.8223539988402
1205,86.3085850708666
3099,175.05240080291549
2635,156.05227320272672
2722,147.9112230071934
3397,205.39212339118262
2201,78.03914232063615
1037,64.79963311483567
3393,197.31631761325673
2620,146.66676016216894
3325,184.44267783203603
2440,127.59984019982063
2663,114.99518925638274
1476,81.86140817829201
1255,46.71532489175292
2546,118.24204610037268
2371,123.0314429969461
2996,132.29066677909324
3398,139.4058269273299
599,40.57316373465949
2508,160.74808390354735
1255,72.47342725706694
1297,83.00739090400883
1159,56.533961563755014
3458,207.34007212290223
923,84.46616635840391
3245,165.34308119681532
1139,88.34767779766463
1044,80.6719067065211
3091,147.11877481452882
1214,91.39895199901596
2792,105.11662884814163
651,25.728327200691677
3223,154.2315495154174
3058,120.44132783507408
3430,163.48943081744437
1707,112.30123218057929
2576,131.29610710488555
1302,76.20144321096744
2676,113.23854155285107
2676,131.86316891414657
2456,163.28685934739246
2425,136.38260048855378
1256,77.3721764904874
773,18.08332218040326
2883,161.52566538226526
888,45.04542800149895
2141,116.61171625415838
1966,118.66805369044627
3091,163.92725447881662
1388,83.60625346606503
757,14.80745051826236
1845,80.43518962891163
2605,143.1089735081846
2839,133.49137567205335
3327,163.65024941122928
930,36.39257909445506
591,24.88733656721832
2420,132.69377367958975
2946,113.84951560117598
3159,172.69713609466328
2089,76.55050642162868
3456,191.44060640524248
3181,195.95580082972563
584,-3.9216537191066863
2751,130.19932790107487
824,38.625187209156834
1274,40.439781333195796
1571,60.66702222125537
1139,62.296539148443
2536,115.11175183721332
1655,72.36960417389234
1472,65.28960215694539
3416,164.9543363554884
1704,49.77973467115495
2524,110.57487588274002
1667,99.66798220827482
2184,113.60441746836194
3339,142.64702766860384
3267,170.8347031234932
3457,179.096658701172
873,27.94125357945188
2377,107.98911369252386
1060,72.52959769382642
1829,121.25422371677784
2105,106.33596188723511
2717,171.40822653504733
2199,111.35256678510858
1972,98.28379404759096
756,59.50895693523066
2405,140.97037501583026
1816,71.64018721579875
2454,160.6781742659209
1316,53.79883797667766
2935,129.96937751032362
2134,106.99017208471567
1473,60.79693591619115
868,58.2228798945024
2523,158.13713204009375
3465,220.1493565175984
701,46.74329952913602
2931,130.05413898907278
2036,78.95249715808455
2430,101.11020864793741
2918,127.39538898033763
1055,54.86883410410581
1454,91.88143366426968
2571,128.60044452135858
2223,149.46806002136088
630,19.84653850535572
2925,156.17554526103626
2646,151.90601089503346
1431,49.46239310048452
3282,139.99826440502474
2671,113.82009971041933
2487,133.99965451014484
3142,183.06923544363454
2466,109.69887072615813
3287,156.4129494321931
709,69.27462816968483
3110,153.15432272159399
1935,95.62700858093847
3330,184.40161605769003
3253,165.7639557558741
3326,160.90221045281305
586,35.22482498204341
1372,44.64571947351047
2559,113.41860698855987
3318,133.18638983011428
807,15.601464148187219
1604,87.71465947626318
2580,128.59754531588368
1706,85.45568412184203
1652,78.44570640211298
3354,175.94746275528485
775,52.75412725282399
1698,106.42953291149495
2078,81.43852602295473
1895,129.96414110394323
1708,95.01407379830478
2992,161.32414459681226
3036,151.1634550011945
2834,167.6486386737921
1804,91.0973145038024
1137,60.006842436577436
1270,63.721408131987815
594,43.536230056395894
2399,84.92332678849428
2404,88.66882075828454
2844,173.73171431509712
1852,94.88413102917396
1107,51.00980845239269
1934,125.55325635427951
2998,142.90283036219546
1772,98.9505226365496
680,42.21598337330211
2871,127.30654472839996
1249,60.30357526791813
2687,166.35898168270856
1520,93.22395573006368
3146,179.21944060957784
3437,166.85523468648012
2145,93.79502127546775
1343,97.34482393362595
3244,149.69269800294526
2052,82.93314991929489
1425,78.03771699303944
2697,118.76820107473858
1634,77.9906550206844
525,14.067566986561904
1988,88.90333685130375
1456,57.909631796045936
2413,127.66772238464266
3434,195.3224382363618
1641,68.22260914451198
1969,79.60454488767961
2119,160.90828374749287
3221,138.2552089528045
2396,149.3300475631359
1428,82.89756791666943
2031,103.56920243255986
3311,137.49409059951654
2669,105.40915450240847
1850,95.51181242395484
969,83.08247274978235
2835,145.19139771111668
1025,56.850627055893675
2363,108.85634717567152
2220,73.47869001104613
1676,82.70166177059572
1091,44.90352802720207
2589,101.78127661559024
2822,109.96112491550848
707,21.253429096948537
3327,143.7411945767613
666,63.734931099667335
2659,137.79623721430124
1653,62.20051974331618
3283,160.90892911347365
2410,134.99219171349498
3360,153.13530108464244
716,39.844588182010376
524,49.41499992907474
567,7.954031006626089
1507,100.690567360685
2782,125.24124532002307
2240,80.8332990661215
2522,134.97034846307554
791,16.14072547775442
2250,108.04546501391722
1522,87.74430423063211
3249,149.81418165262744
3275,169.24130011934687
3103,175.1186011936494
2580,89.39912679049426
2140,93.03269092139674
2760,140.44204687507772
1662,85.73000486543894
2218,119.94285336196492
1945,90.80239830396994
1123,62.112607591746276
1270,93.30988652969958
2063,72.86006763511143
1741,75.54722214402709
3211,167.75978802962692
1321,14.012918178216168
807,38.092665738300504
1698,82.60507113557514
1672,80.9228764997059
3497,190.58432410089247
2065,112.58623868968095
3095,195.04123898975593
1307,55.059536676656585
2621,121.49112889699872
797,30.663574443804976
3467,187.82331029889187
1230,72.40055522564992
2470,152.72626498996874
3424,182.4627636907627
2295,87.7571953288374
2323,90.1088396469697
3325,131.07882739426668
929,30.409169530360106
699,59.77862928745673
1947,149.4501087714151
1585,75.89925860489184
2889,142.66967350455016
1365,74.17477431689049
3350,136.5850929404047
2454,109.83119144441594
1612,69.35417787354349
2581,117.01546134762788
3193,125.69457089351319
2780,138.45236444726058
1267,78.0203888774844
2584,126.31753579747839
2292,118.9790393882613
1983,102.46116081675518
2838,113.12302068979241
697,72.9586012707332
1394,59.9552579439738
2473,140.5509985687904
1778,69.42382533417137
1970,109.36180659459694
636,-2.431186165088402
2737,166.66044362213907
2677,120.31449516450908
2757,93.54245480605105
1892,75.61133710240276
2839,130.48334612129167
1900,63.815174417547425
668,57.77370891927973
2408,108.49352425855137
3352,124.21084607847723
676,7.495772075898632
2061,103.59278016475055
823,49.63164679370959
1008,53.07991199544563
3351,128.03936079329944
2322,89.81760237355489
1553,85.5722233318283
2277,104.453535187248
646,35.200881892295264
1797,94.9968135212238
721,42.053757070240884
2888,106.65042429290527
1009,30.515581908453548
3062,141.75055963139545
2617,156.1214651733102
1881,111.91756009505787
